Step,Layer,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SourcePath,SourceLine,FinalFieldClass,Note
114,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x2A,0x0C,0xFF,stage2 slot 109,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,342,KNOWN_FINAL_VALUE,enabled stage-2 source table word
115,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x02,0x2C,0x27,0xFF,stage2 slot 110,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,343,KNOWN_FINAL_VALUE,enabled stage-2 source table word
116,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x59,0x11,0xFF,stage2 slot 137,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,370,KNOWN_FINAL_VALUE,enabled stage-2 source table word
117,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x01,0x00,0xFF,stage2 slot 138,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,371,KNOWN_FINAL_VALUE,enabled stage-2 source table word
118,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x58,0x00,0xFF,stage2 slot 139,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,372,KNOWN_FINAL_VALUE,enabled stage-2 source table word
119,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x05,0x59,0x00,0xFF,stage2 slot 140,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,373,KNOWN_FINAL_VALUE,enabled stage-2 source table word
120,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x00,0x00,0xFF,stage2 slot 141,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,374,KNOWN_FINAL_VALUE,enabled stage-2 source table word
121,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x56,0x10,0xFF,stage2 slot 142,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,375,KNOWN_FINAL_VALUE,enabled stage-2 source table word
122,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xC2,0x00,0xFF,stage2 slot 143,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,376,KNOWN_FINAL_VALUE,enabled stage-2 source table word
123,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xC3,0x00,0xFF,stage2 slot 144,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,377,KNOWN_FINAL_VALUE,enabled stage-2 source table word
124,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xC8,0x00,0xFF,stage2 slot 145,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,378,KNOWN_FINAL_VALUE,enabled stage-2 source table word
125,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x01,0xCD,0x86,0xFF,stage2 slot 146,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,379,KNOWN_FINAL_VALUE,enabled stage-2 source table word
126,PRODUCT_EQUIVALENT_AUTOINIT,WRITE_FULL,0x00,0x00,0x00,0xFF,stage2 slot 147,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,380,KNOWN_FINAL_VALUE,enabled stage-2 source table word
127,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0xFF,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 0,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,559,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
128,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x80,0x0F,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 1,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,560,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
129,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0xB8,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 2,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,561,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
130,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x00,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 3,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,544,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
131,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x01,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 4,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,545,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
132,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x02,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 5,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,546,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
133,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x03,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 6,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,547,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
134,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x08,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 7,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,526,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
135,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x09,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 8,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,527,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
136,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x0A,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 9,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,528,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
137,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x0B,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 10,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,529,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
138,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x81,0x03,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 11,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,530,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
139,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x82,0x03,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 12,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,531,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
140,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x83,0x03,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 13,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,532,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
141,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x84,0x03,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 14,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,533,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
142,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x85,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 15,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,408,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
143,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x86,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 16,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,409,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
144,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x87,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 17,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,410,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
145,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x88,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 18,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,411,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
146,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x78,0x88,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 19,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,412,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
147,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x79,0x88,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 20,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,413,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
148,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x7A,0x11,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 21,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,414,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
149,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0x7B,0x11,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 22,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,415,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
150,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xFF,0x01,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 23,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,418,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
151,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x84,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 24,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,419,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
152,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x85,0x01,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 25,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,420,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
153,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x86,0x02,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 26,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,421,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
154,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x87,0x03,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 27,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,422,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
155,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x8C,0x40,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 28,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,423,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
156,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x8D,0x41,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 29,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,424,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
157,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x8E,0x42,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 30,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,425,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
158,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x8F,0x43,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 31,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,426,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
159,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x97,0x0F,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 32,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,427,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
160,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0x98,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 33,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,428,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
161,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC2,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 34,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,429,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
162,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC3,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 35,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,430,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
163,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC4,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 36,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,431,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
164,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC5,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 37,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,432,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
165,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC8,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 38,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,433,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
166,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xC9,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 39,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,434,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
167,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xCA,0x22,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 40,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,435,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
168,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xCB,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 41,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,436,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
169,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xCD,0x4A,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 42,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,437,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
170,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x01,0xCE,0x46,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 43,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,438,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
171,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0xFF,0x09,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 44,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,441,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
172,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x40,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 45,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,442,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
173,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x44,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 46,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,443,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
174,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x50,0xAB,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 47,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,444,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
175,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x51,0x7D,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 48,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,445,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
176,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x52,0xC3,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 49,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,446,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
177,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x53,0x52,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 50,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,447,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
178,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x54,0xAB,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 51,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,448,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
179,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x55,0x7D,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 52,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,449,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
180,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x56,0xC3,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 53,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,450,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
181,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x57,0x52,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 54,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,451,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
182,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x58,0xAB,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 55,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,452,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
183,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x59,0x7D,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 56,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,453,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
184,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5A,0xC3,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 57,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,454,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
185,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5B,0x52,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 58,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,455,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
186,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5C,0xAB,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 59,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,456,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
187,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5D,0x7D,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 60,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,457,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
188,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5E,0xC3,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 61,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,458,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
189,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x09,0x5F,0x52,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 62,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,459,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
190,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0xFF,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 63,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,462,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
191,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0xB8,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 64,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,463,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
192,DIAGNOSTIC_PROFILE_OVERLAY,WRITE_FULL,0x00,0xFF,0x00,0xFF,profile=10 phase=A channel=0 AUTO=0 overlay slot 65,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,464,KNOWN_FINAL_VALUE,resolved deterministic overlay expression
193,POST_INIT_READBACK,READ_GROUP,Bank0/Bank1/Bank5-8,FIXED_MANIFEST,DYNAMIC_OR_CONFIG_READBACK,MANIFEST,after table,120,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,182,DYNAMIC_STATUS,diagnostic reads do not alter functional target state
194,ENTRY_BANK_RESTORE,WRITE_AND_VERIFY,CAPTURED,0xFF,CAPTURED_ENTRY_BANK,0xFF,after post-init reads,0,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,1966,SYMBOLIC_UNKNOWN_BITS,exact entry bank restored and verified
