ReferenceOrder,OperationID,Phase,Category,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SemanticPurpose,Authority,SourceFunction,SourceLine,NVP6134CCompatibility
1,REF-001,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2070,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
69,REF-069,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x3C,0x84,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3411,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
70,REF-070,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x44,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3412,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
71,REF-071,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x48,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3413,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
72,REF-072,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x4C,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3414,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
73,REF-073,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x50,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3415,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
74,REF-074,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3418,PROVEN_REGISTER_VALUE
75,REF-075,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x1B,0x08,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3419,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
76,REF-076,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x20,0x84,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3420,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
77,REF-077,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x26,0xF0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3421,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
78,REF-078,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x27,0x57,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3422,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
79,REF-079,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x29,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3423,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
80,REF-080,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x76,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3424,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
81,REF-081,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x57,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3425,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
82,REF-082,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x5F,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3426,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
83,REF-083,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x90,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3427,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
84,REF-084,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x2B,0xA8,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3428,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
85,REF-085,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0xD1,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3429,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
86,REF-086,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0xD4,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3430,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
87,REF-087,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0xB8,0xB9,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3431,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
88,REF-088,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3434,PROVEN_REGISTER_VALUE
89,REF-089,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x00,0x64,0x80,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3435,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
90,REF-090,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3436,PROVEN_REGISTER_VALUE
91,REF-091,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x6E,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3437,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
92,REF-092,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x05,0x6F,0x2A,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3438,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
93,REF-093,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3440,PROVEN_REGISTER_VALUE
94,REF-094,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,READ_FOR_RMW,0x01,0xED,YCmerge,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3441,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
95,REF-095,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,RMW_CLEAR_CHANNEL_BIT,0x01,0xED,OLD_VALUE & ~(1 << CH_LOCAL) [YCmerge],0xFE,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3443,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
96,REF-096,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x01,0xFF,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3446,PROVEN_REGISTER_VALUE
97,REF-097,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x02,0x23,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3447,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
98,REF-098,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x28,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3448,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
99,REF-099,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x29,0x78,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3449,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
100,REF-100,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x2A,0x2D,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3450,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
101,REF-101,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x2B,0x06,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3451,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
102,REF-102,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x02,0x2C,0x72,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3452,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
103,REF-103,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x02,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3454,PROVEN_REGISTER_VALUE
104,REF-104,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x40,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3455,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
105,REF-105,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,READ_FOR_RMW,0x09,0x44,PN_set,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3456,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
106,REF-106,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,RMW_CLEAR_CHANNEL_BIT,0x09,0x44,OLD_VALUE & ~(1 << CH_LOCAL) [PN_set],0xFE,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3458,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
107,REF-107,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x09,0x97,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3459,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
108,REF-108,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,0x09,0xFF,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3462,PROVEN_REGISTER_VALUE
109,REF-109,FHD_COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,WRITE,0x11,0x00,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,FHD formatter and decoder preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_common_fhd,3463,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
110,REF-110,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x11,0xFF,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3472,PROVEN_REGISTER_VALUE
111,REF-111,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x01,0x84,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3473,PROVEN_REGISTER_VALUE
112,REF-112,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x01,0x8C,0x40,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3474,PROVEN_REGISTER_VALUE
113,REF-113,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x01,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3477,PROVEN_REGISTER_VALUE
114,REF-114,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x18,0x30,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3478,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
115,REF-115,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x08,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3479,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
116,REF-116,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x40,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3480,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
117,REF-117,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x81,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3481,PROVEN_REGISTER_VALUE
118,REF-118,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x85,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3482,PROVEN_REGISTER_VALUE
119,REF-119,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3484,PROVEN_REGISTER_VALUE
120,REF-120,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x47,0x04,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3485,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
121,REF-121,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x50,0x84,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3486,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
122,REF-122,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3489,PROVEN_REGISTER_VALUE
123,REF-123,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x30,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3490,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
124,REF-124,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x58,0x7D,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3491,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
125,REF-125,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x5C,0x9E,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3492,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
126,REF-126,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x64,0x80,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3493,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
127,REF-127,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x89,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3494,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
128,REF-128,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0x8E,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3495,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
129,REF-129,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0xA0,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3496,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
130,REF-130,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x00,0xA4,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3497,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
131,REF-131,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x00,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3499,PROVEN_REGISTER_VALUE
132,REF-132,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x97,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3500,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
133,REF-133,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x98,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3501,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
134,REF-134,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x99,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3502,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
135,REF-135,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x09,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3505,PROVEN_REGISTER_VALUE
