GlobalSequenceNumber,ConfigurationLayer,SourceFile,SourceLine,SourceSymbol,Channel,LogicalChannelIndex,ExpectedPrivateBank,SelectedBankBefore,BankSelectWrite,RegisterAddress,Operation,WriteData,WriteMask,ReadModifyWrite,KnownInitialBits,SymbolicUnknownBits,ComputedFinalValue,DelayBefore,DelayAfter,Condition,Reason,AuthorityReference
185,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,409,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x86,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:409; bringup:997-1070
186,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,410,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x87,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:410; bringup:997-1070
187,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,411,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x88,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:411; bringup:997-1070
188,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,412,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x78,WRITE,0x88,0xFF,NO,N/A,NONE,0x88,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:412; bringup:997-1070
189,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,413,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x79,WRITE,0x88,0xFF,NO,N/A,NONE,0x88,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:413; bringup:997-1070
190,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,414,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x7A,WRITE,0x11,0xFF,NO,N/A,NONE,0x11,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:414; bringup:997-1070
191,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,415,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0x7B,WRITE,0x11,0xFF,NO,N/A,NONE,0x11,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:415; bringup:997-1070
192,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select physical bank 0x01 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
193,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x01,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x01,nvp6134c_i2c_bringup.vhd:1056-1062
194,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,418,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:418; bringup:997-1070
195,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,419,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x84,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:419; bringup:997-1070
196,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,420,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x85,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:420; bringup:997-1070
197,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,421,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x86,WRITE,0x02,0xFF,NO,N/A,NONE,0x02,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:421; bringup:997-1070
198,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,422,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x87,WRITE,0x03,0xFF,NO,N/A,NONE,0x03,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:422; bringup:997-1070
199,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,423,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x8C,WRITE,0x40,0xFF,NO,N/A,NONE,0x40,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:423; bringup:997-1070
200,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,424,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x8D,WRITE,0x41,0xFF,NO,N/A,NONE,0x41,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:424; bringup:997-1070
201,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,425,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x8E,WRITE,0x42,0xFF,NO,N/A,NONE,0x42,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:425; bringup:997-1070
202,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,426,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x8F,WRITE,0x43,0xFF,NO,N/A,NONE,0x43,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:426; bringup:997-1070
203,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,427,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x97,WRITE,0x0F,0xFF,NO,N/A,NONE,0x0F,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:427; bringup:997-1070
204,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,428,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0x98,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:428; bringup:997-1070
205,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,429,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC2,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:429; bringup:997-1070
206,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,430,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC3,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:430; bringup:997-1070
207,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,431,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC4,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:431; bringup:997-1070
208,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,432,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC5,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:432; bringup:997-1070
209,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,433,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC8,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:433; bringup:997-1070
210,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,434,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xC9,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:434; bringup:997-1070
211,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,435,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xCA,WRITE,0x22,0xFF,NO,N/A,NONE,0x22,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:435; bringup:997-1070
212,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,436,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xCB,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:436; bringup:997-1070
213,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,437,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xCD,WRITE,0x4A,0xFF,NO,N/A,NONE,0x4A,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:437; bringup:997-1070
214,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,438,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x01,NO,0xCE,WRITE,0x46,0xFF,NO,N/A,NONE,0x46,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:438; bringup:997-1070
215,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x01,YES,0xFF,WRITE,0x09,0xFF,NO,N/A,NONE,0x09,0,0,ALWAYS,select physical bank 0x09 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
216,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x09,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x09,nvp6134c_i2c_bringup.vhd:1056-1062
217,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,441,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,YES,0xFF,WRITE,0x09,0xFF,NO,N/A,NONE,0x09,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:441; bringup:997-1070
218,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,442,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x40,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:442; bringup:997-1070
219,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,443,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x44,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:443; bringup:997-1070
220,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,444,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x50,WRITE,0xAB,0xFF,NO,N/A,NONE,0xAB,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:444; bringup:997-1070
221,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,445,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x51,WRITE,0x7D,0xFF,NO,N/A,NONE,0x7D,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:445; bringup:997-1070
222,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,446,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x52,WRITE,0xC3,0xFF,NO,N/A,NONE,0xC3,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:446; bringup:997-1070
223,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,447,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x53,WRITE,0x52,0xFF,NO,N/A,NONE,0x52,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:447; bringup:997-1070
224,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,448,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x54,WRITE,0xAB,0xFF,NO,N/A,NONE,0xAB,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:448; bringup:997-1070
225,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,449,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x55,WRITE,0x7D,0xFF,NO,N/A,NONE,0x7D,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:449; bringup:997-1070
226,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,450,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x56,WRITE,0xC3,0xFF,NO,N/A,NONE,0xC3,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:450; bringup:997-1070
227,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,451,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x57,WRITE,0x52,0xFF,NO,N/A,NONE,0x52,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:451; bringup:997-1070
228,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,452,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x58,WRITE,0xAB,0xFF,NO,N/A,NONE,0xAB,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:452; bringup:997-1070
229,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,453,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x59,WRITE,0x7D,0xFF,NO,N/A,NONE,0x7D,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:453; bringup:997-1070
230,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,454,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5A,WRITE,0xC3,0xFF,NO,N/A,NONE,0xC3,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:454; bringup:997-1070
231,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,455,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5B,WRITE,0x52,0xFF,NO,N/A,NONE,0x52,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:455; bringup:997-1070
232,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,456,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5C,WRITE,0xAB,0xFF,NO,N/A,NONE,0xAB,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:456; bringup:997-1070
233,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,457,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5D,WRITE,0x7D,0xFF,NO,N/A,NONE,0x7D,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:457; bringup:997-1070
234,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,458,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5E,WRITE,0xC3,0xFF,NO,N/A,NONE,0xC3,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:458; bringup:997-1070
235,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,459,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x09,NO,0x5F,WRITE,0x52,0xFF,NO,N/A,NONE,0x52,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:459; bringup:997-1070
236,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1035,INIT_BANK_WRITE,GLOBAL,N/A,N/A,0x09,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select physical bank 0x00 for logical table target,nvp6134c_i2c_bringup.vhd:1028-1069
237,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1056,INIT_BANK_VERIFY,GLOBAL,N/A,N/A,0x00,NO,0xFF,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify physical bank 0x00,nvp6134c_i2c_bringup.vhd:1056-1062
238,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,462,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:462; bringup:997-1070
239,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,463,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,NO,0xB8,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:463; bringup:997-1070
240,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_diagnostics_pkg.vhd,464,c_v38ek_overlay_op_for_slot,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,effective table target write,nvp6134c_diagnostics_pkg.vhd:464; bringup:997-1070
241,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1072,PH_WIN_BANK,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,post-init Bank0 window,bringup:1072-1106
242,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x08,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
243,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x09,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
244,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x0A,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
245,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x0B,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
246,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x81,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
247,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x82,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
248,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x83,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
249,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x84,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
250,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
251,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
252,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xE8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
253,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xE9,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
254,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
255,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
256,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x54,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
257,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1079,PH_WIN_READ,GLOBAL,N/A,N/A,0x00,NO,0x55,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init Bank0 status window,diagnostics_pkg:514-535; bringup:1079-1082
258,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1084,PH_OUT_BANK,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,post-init Bank1 output window,bringup:1084-1094
259,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1091,PH_OUT_READ,GLOBAL,N/A,N/A,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init output readback,diagnostics_pkg:538-549; bringup:1091-1094
260,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1091,PH_OUT_READ,GLOBAL,N/A,N/A,0x01,NO,0xC3,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init output readback,diagnostics_pkg:538-549; bringup:1091-1094
261,L3_ALL_CHANNEL_PUBLIC_OVERLAY,rtl/nvp/nvp6134c_i2c_bringup.vhd,1091,PH_OUT_READ,GLOBAL,N/A,N/A,0x01,NO,0xC4,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,post-init output readback,diagnostics_pkg:538-549; bringup:1091-1094
