RegisterIndex,Bank,Register,TouchCount,FirstOperationIndex,LastOperationIndex,OperationIndices,SourceSemanticFunctions,OperationTypes,RecoveryClass,RecoveryAction,SafeReadAuthority,ReadSideEffectAuthority,ProductReconstructionAuthority,EvidenceAuthority,Confidence,UnresolvedReason
46,0x05,0x24,1,138,138,138,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
47,0x05,0x25,1,139,139,139,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
48,0x05,0x26,2,77,140,77;140,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
49,0x05,0x27,1,78,78,78,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
50,0x05,0x29,2,79,141,79;141,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
51,0x05,0x2A,2,17,142,17;142,nvp6134_set_common_value;nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
52,0x05,0x2B,1,84,84,84,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
53,0x05,0x47,1,120,120,120,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
54,0x05,0x50,1,121,121,121,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
55,0x05,0x57,1,81,81,81,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
56,0x05,0x58,3,19,143,19;58;143,nvp6134_set_common_value;nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
57,0x05,0x59,3,20,163,20;59;163,eq_init_each_format;nvp6134_set_common_value;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
58,0x05,0x5B,1,60,60,60,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
59,0x05,0x5F,2,82,144,82;144,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
60,0x05,0x69,1,61,61,61,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
61,0x05,0x6E,1,91,91,91,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
62,0x05,0x6F,1,92,92,92,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
63,0x05,0x75,1,145,145,145,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
64,0x05,0x76,1,80,80,80,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
65,0x05,0x84,1,146,146,146,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
66,0x05,0x86,1,147,147,147,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
67,0x05,0x90,2,83,148,83;148,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
68,0x05,0x9B,1,149,149,149,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
69,0x05,0xB5,1,150,150,150,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
70,0x05,0xB7,1,151,151,151,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
71,0x05,0xB8,3,21,152,21;87;152,nvp6134_set_common_value;nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
72,0x05,0xBB,1,153,153,153,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
73,0x05,0xC0,1,165,165,165,eq_init_each_format,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
74,0x05,0xC1,1,166,166,166,eq_init_each_format,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
75,0x05,0xC8,2,22,167,22;167,eq_init_each_format;nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
76,0x05,0xD1,2,85,154,85;154,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
77,0x05,0xD4,1,86,86,86,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
78,0x09,0x40,3,104,174,104;172;174,nvp6134_set_chnmode;nvp6134_setchn_common_fhd,WRITE_FULL;WRITE_PULSE,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
79,0x09,0x44,1,106,106,106,nvp6134_setchn_common_fhd,READ_MODIFY_WRITE,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,RMW_MASK_0x01_IS_SEMANTICALLY_EXACT_BUT_SAFE_READ_AND_RESTORE_ARE_NOT_NVP6134C_PROVEN
80,0x09,0x50,1,156,156,156,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
81,0x09,0x51,1,157,157,157,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
82,0x09,0x52,1,158,158,158,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
83,0x09,0x53,1,159,159,159,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
84,0x09,0x64,1,26,26,26,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
85,0x09,0x6A,1,27,27,27,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
86,0x09,0x6B,1,28,28,28,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
87,0x09,0x6C,1,29,29,29,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
88,0x09,0x80,1,31,31,31,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
89,0x09,0x81,1,32,32,32,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
90,0x09,0x97,2,107,132,107;132,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
