OperationIndex,OperationID,SourceSemanticFunction,Bank,Register,OperationType,Value,Mask,PreservedBits,Condition,DelayBefore,DelayAfter,RequiredInitialState,ExpectedReadback,ReadbackMask,RecoveryClass,RecoveryAction,EvidenceAuthority,Confidence,IncludedInMinimumMode1,ExclusionReason
42,MODE1_0042_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x68,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
43,MODE1_0043_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x69,WRITE_FULL,0x0B,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0B,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
44,MODE1_0044_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6A,WRITE_FULL,0x0A,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0A,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
45,MODE1_0045_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6B,WRITE_FULL,0x11,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x11,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
46,MODE1_0046_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6C,WRITE_FULL,0x0D,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0D,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
47,MODE1_0047_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6D,WRITE_FULL,0x06,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x06,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
48,MODE1_0048_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6E,WRITE_FULL,0x27,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x27,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
49,MODE1_0049_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x6F,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
50,MODE1_0050_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x70,WRITE_FULL,0x4E,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x4E,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
51,MODE1_0051_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x71,WRITE_FULL,0x6D,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x6D,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
52,MODE1_0052_COMMON_WRITE,nvp6134_set_common_value,0x0A,0x72,WRITE_FULL,0x74,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x74,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
53,MODE1_0053_FHD_COMMON_BANK_SELECT,nvp6134_setchn_common_fhd,0x0A,0xFF,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
54,MODE1_0054_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x00,WRITE_FULL,0x10,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x10,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
55,MODE1_0055_FHD_COMMON_BANK_SELECT,nvp6134_setchn_common_fhd,0x00,0xFF,WRITE_FULL,0x05,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x05,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
56,MODE1_0056_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x00,WRITE_FULL,0xC0,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xC0,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
57,MODE1_0057_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x01,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
58,MODE1_0058_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x58,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
59,MODE1_0059_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x59,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
60,MODE1_0060_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x5B,WRITE_FULL,0x03,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x03,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
61,MODE1_0061_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x69,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
62,MODE1_0062_FHD_COMMON_BANK_SELECT,nvp6134_setchn_common_fhd,0x05,0xFF,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
63,MODE1_0063_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x0C,WRITE_FULL,0x08,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x08,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
64,MODE1_0064_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x10,WRITE_FULL,0x88,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x88,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
65,MODE1_0065_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x14,WRITE_FULL,0x90,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x90,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
66,MODE1_0066_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x18,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
67,MODE1_0067_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x21,WRITE_FULL,0x82,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x82,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
68,MODE1_0068_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x22,WRITE_FULL,0x0B,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x0B,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
69,MODE1_0069_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x3C,WRITE_FULL,0x84,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x84,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
70,MODE1_0070_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x44,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
71,MODE1_0071_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x48,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
72,MODE1_0072_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x4C,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
73,MODE1_0073_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x00,0x50,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
74,MODE1_0074_FHD_COMMON_BANK_SELECT,nvp6134_setchn_common_fhd,0x00,0xFF,WRITE_FULL,0x05,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x05,0xFF,EXACT_READ_RESTORE,RESTORE_CAPTURED_ENTRY_BANK_AND_VERIFY,SCAN0_SEMANTIC_MANIFEST; NVP6134C_DATASHEET; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC,YES,
75,MODE1_0075_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x1B,WRITE_FULL,0x08,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x08,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
76,MODE1_0076_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x20,WRITE_FULL,0x84,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x84,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
77,MODE1_0077_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x26,WRITE_FULL,0xF0,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0xF0,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
78,MODE1_0078_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x27,WRITE_FULL,0x57,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x57,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
79,MODE1_0079_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x29,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
80,MODE1_0080_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x76,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
81,MODE1_0081_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x57,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
82,MODE1_0082_FHD_COMMON_WRITE,nvp6134_setchn_common_fhd,0x05,0x5F,WRITE_FULL,0x00,0xFF,0x00,CH1_AND_PAL_AND_NVP6134_VI_1080P_2530,0,0,BASELINE_CAPTURED; EXCLUSIVE_I2C_OWNERSHIP; STREAM_DISABLED,0x00,0xFF,PROHIBITED_UNRESOLVED,NO_EXECUTION; ENTER_FATAL_RECOVERY_FAILURE_IF_TOUCHED,SCAN0_SEMANTIC_MANIFEST; REFERENCE_DRIVER_SEMANTICS; SOURCE_COMMIT_dae2aff60141ecdbc0afac08fc0df9a3166f66c6,HIGH_SEMANTIC_LOW_HARDWARE_COMPATIBILITY,YES,
