sequence_number,bank,register,target,baseline_pass_a,baseline_pass_b,agreement_rule,prewrite_rule,post_write_rule,post_rollback_rule,technical_authority,execution_status
100,0x05,0xC8,B05:RC8,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
101,0x05,0xD1,B05:RD1,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
102,0x05,0xD4,B05:RD4,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
103,0x09,0x40,B09:R40,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
104,0x09,0x44,B09:R44,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
105,0x09,0x50,B09:R50,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
106,0x09,0x51,B09:R51,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
107,0x09,0x52,B09:R52,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
108,0x09,0x53,B09:R53,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
109,0x09,0x64,B09:R64,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
110,0x09,0x6A,B09:R6A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
111,0x09,0x6B,B09:R6B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
112,0x09,0x6C,B09:R6C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
113,0x09,0x80,B09:R80,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
114,0x09,0x81,B09:R81,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
115,0x09,0x97,B09:R97,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
116,0x09,0x98,B09:R98,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
117,0x09,0x99,B09:R99,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
118,0x0A,0x60,B0A:R60,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
119,0x0A,0x61,B0A:R61,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
120,0x0A,0x62,B0A:R62,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
121,0x0A,0x63,B0A:R63,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
122,0x0A,0x64,B0A:R64,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
123,0x0A,0x65,B0A:R65,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
124,0x0A,0x66,B0A:R66,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
125,0x0A,0x67,B0A:R67,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
126,0x0A,0x68,B0A:R68,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
127,0x0A,0x69,B0A:R69,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
128,0x0A,0x6A,B0A:R6A,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
129,0x0A,0x6B,B0A:R6B,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
130,0x0A,0x6C,B0A:R6C,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
131,0x0A,0x6D,B0A:R6D,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
132,0x0A,0x6E,B0A:R6E,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
133,0x0A,0x6F,B0A:R6F,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
134,0x0A,0x70,B0A:R70,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
135,0x0A,0x71,B0A:R71,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
136,0x0A,0x72,B0A:R72,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
137,0x0A,0x74,B0A:R74,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
138,0x11,0x00,B11:R00,NOT_AUTHORIZED,NOT_AUTHORIZED,UNDEFINED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_AUTHORIZED,MISSING,NOT_REACHED_AFTER_COMPLETE_ROLLBACK_AUTHORITY_GATE
