rollback_sequence,bank,register,target,last_forward_touch,restore_operation,baseline_value_source,preserved_bits,required_post_restore_readback,authority_status,execution_status
108,0x0A,0x70,B0A:R70,MODE:50:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
109,0x0A,0x6F,B0A:R6F,MODE:49:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
110,0x0A,0x6E,B0A:R6E,MODE:48:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
111,0x0A,0x6D,B0A:R6D,MODE:47:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
112,0x0A,0x6C,B0A:R6C,MODE:46:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
113,0x0A,0x6B,B0A:R6B,MODE:45:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
114,0x0A,0x6A,B0A:R6A,MODE:44:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
115,0x0A,0x69,B0A:R69,MODE:43:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
116,0x0A,0x68,B0A:R68,MODE:42:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
117,0x0A,0x67,B0A:R67,MODE:41:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
118,0x0A,0x66,B0A:R66,MODE:40:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
119,0x0A,0x65,B0A:R65,MODE:39:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
120,0x0A,0x64,B0A:R64,MODE:38:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
121,0x0A,0x63,B0A:R63,MODE:37:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
122,0x0A,0x62,B0A:R62,MODE:36:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
123,0x0A,0x61,B0A:R61,MODE:35:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
124,0x0A,0x60,B0A:R60,MODE:34:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
125,0x09,0x81,B09:R81,MODE:32:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
126,0x09,0x80,B09:R80,MODE:31:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
127,0x09,0x6C,B09:R6C,MODE:29:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
128,0x09,0x6B,B09:R6B,MODE:28:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
129,0x09,0x6A,B09:R6A,MODE:27:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
130,0x09,0x64,B09:R64,MODE:26:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
131,0x05,0x0E,B05:R0E,MODE:18:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
132,0x05,0x23,B05:R23,MODE:16:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
133,0x05,0x11,B05:R11,MODE:15:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
134,0x05,0x08,B05:R08,MODE:13:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
135,0x05,0x05,B05:R05,MODE:12:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
136,0x00,0x93,B00:R93,MODE:7:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
137,0x00,0x34,B00:R34,MODE:6:COMMON,UNAUTHORIZED_UNTIL_AUTHORITY_CLOSED,UNAVAILABLE,FULL_BYTE_RESTORE,NOT_AUTHORIZED,BLOCKING_AUTHORITY_GAP,NOT_REACHED
138,0x00,0x23,B00:R23,MODE:4:COMMON,WRITE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,FUNCTIONAL_BASELINE_A_AND_B,FULL_BYTE_RESTORE,EXACT_BASELINE_EQUALITY,AUTHORIZED,NOT_REACHED
