comparison_item,our_active_path_and_condition,reference_path_and_condition,channel_or_port,bank,register,our_order_value_delay,reference_order_value_delay,match_or_difference,provenance,applicability,causal_relevance,disposition
MAREK_STAGE2_SLOT_059,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,29,slot=59;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3423;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:292;video.c:3423,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_060,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,2A,slot=60;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/2;video.c:3512;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:293;video.c:3512,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_061,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,2B,slot=61;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3428;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:294;video.c:3428,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_062,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,5F,slot=62;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3426;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:295;video.c:3426,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_063,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,56,slot=63;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/0;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:296;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_064,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,90,slot=64;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/2;video.c:3519;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:297;video.c:3519,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_065,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,9B,slot=65;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3520;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:298;video.c:3520,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_066,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,B5,slot=66;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3521;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:299;video.c:3521,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_067,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,B7,slot=67;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3522;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:300;video.c:3522,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_068,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,B8,slot=68;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/3;video.c:3431;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:301;video.c:3431,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_069,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,BB,slot=69;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3524;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:302;video.c:3524,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_070,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,D1,slot=70;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=2/2;video.c:3525;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:303;video.c:3525,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_071,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,20,slot=71;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/2;video.c:3420;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:304;video.c:3420,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_072,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,27,slot=72;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3422;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:305;video.c:3422,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_073,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,76,slot=73;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3424;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:306;video.c:3424,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_074,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,6E,slot=74;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3437;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:307;video.c:3437,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_075,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,6F,slot=75;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/1;video.c:3438;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:308;video.c:3438,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_106,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,64,slot=106;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=1/0;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:339;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_137,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,59,slot=137;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=3/3;eq.c:82;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,MATCH_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:370;eq.c:82,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_138,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,01,slot=138;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=3/2;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:371;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_139,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,58,slot=139;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=3/3;video.c:3513;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,DIFF_VALUE;ORDER_DIFF_GLOBAL,nvp6134c_diagnostics_pkg.vhd:372;video.c:3513,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
MAREK_STAGE2_SLOT_140,MAREK_ENABLED_STAGE2_PROFILE10_CH0,CONDITIONAL_CH0_PAL_1080P2530_CORE_SUBPATH_ONLY;MODULE_INIT_NOVIDEO_EXCLUDED_FROM_OCCURRENCE_ALIGNMENT,OUR_CH1_REF_CH0,05,59,slot=140;value=PRIVATE_LEDGER_SHA256_1098CD2F8BF82D129645BE7719476D17E43BBAFF8943A8155E69D4FEB958FF29;no_local_postwrite_delay,same_register_occurrence=4/3;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH;value_in_private_reference_ledger;postwrite_helper_wait_200us_or_300us_if_selected,NO_COMPARABLE_STEP,nvp6134c_diagnostics_pkg.vhd:373;NOT_FOUND_AT_SAME_REGISTER_OCCURRENCE_IN_SCOPED_CORE_PATH,FPGA_ACTIVE;REFERENCE_1080P2530_CONDITIONAL,CONFIGURATION_OR_ORDER_CANDIDATE_NOT_PHYSICAL_CAUSE_PROOF,NO_CHANGE_W1W2;PRESERVE_FOR_W3_INTERPRETATION
INIT_ORDER,AUTOINIT_MAREK_COMMON_THEN_CH1_PRIVATE_THEN_OVERLAY,MODULE_INIT_COMMON_EACH_CH_THEN_NOVIDEO_EACH_CH_THEN_CHIP_ID_PORT_BRANCH,ALL,,,our stage2 fixed profile; no equivalent no-video default,reference driver module init is NOVIDEO; 1080P2530 only conditional,DIFFERENT_ACTIVE_DEFAULT,autoinit.vhd:193-199;diagnostics_pkg.vhd:230-510;nvp6134_drv.c:835-861,REFERENCE_CHIP_ID_UNKNOWN,BASELINE_SEQUENCE_DIFFERENCE,NO_CHANGE_W1W2
GROUP_BANK_SELECT_VERIFY,SCAN1_SUCCESSFUL_FF_WRITE_THEN_FF_VERIFY,REFERENCE_HELPER_WRITE_WAIT_THEN_SELECTED_READS;NO_GENERAL_FF_VERIFY,ALL,FF,FF,verify is explicit scanner operation,200us HI_I2C or 300us I2C_INTERNAL after write; returns ignored,DIFFERENT_TRANSACTION_PATTERN,g2b_nvp_camera_scan1.sv;nvp6134_drv.c:92-126,REFERENCE_TRANSPORT_CONDITIONAL,DIRECT_TIMING_HYPOTHESIS,W3_NARROW_DELAY_CANDIDATE
MODE_BANK0_81,OVERLAY_SLOT159_00_81_03,CONDITIONAL_1080P2530_PAL_CH0,CH1,00,81,slot159 value03,video.c:3480 PAL value03,MATCH_VALUE_CONDITIONAL_ORDER_DIFF,diagnostics_pkg.vhd:399-406;video.c:3480,CONDITIONAL_PATH,FORMAT_TARGET_ONLY,NO_CHANGE_W1W2
MODE_BANK1_84,OVERLAY_SLOT172_01_84_00,CONDITIONAL_1080P2530_PAL_CH0,CH1,01,84,slot172 value00,video.c:3473 value00,MATCH_VALUE_CONDITIONAL_ORDER_DIFF,diagnostics_pkg.vhd:421;video.c:3473,CONDITIONAL_PATH,CURRENT_EVENT_TARGET,NO_CHANGE_W1W2
MODE_BANK1_98,OVERLAY_SLOT181_01_98_00,NO_BANK1_98_READ_IN_REVIEWED_REFERENCE_PATH,CH1,01,98,slot181 value00,NOT_FOUND_IN_REVIEWED_PATH,REFERENCE_ACCESS_NOT_FOUND,diagnostics_pkg.vhd:430;video.c scoped path,SCOPED_REVIEW,CURRENT_EVENT_TARGET,NO_CHANGE_W1W2
PORT_CA,OVERLAY_SLOT188_01_CA_22,SYSTEM_INIT_CHIP_ID_CONDITIONAL_CA66_OR_CAFF;PORTMODE_SEPARATE,VDO1,01,CA,slot188 value22,video.c:200-205 value66 if ID90 else FF; port mode later,VALUE_AND_ORDER_DIFFER,diagnostics_pkg.vhd:437;video.c:200-205;video.c:1205-1252,CHIP_ID_UNKNOWN,PORT_INTERPRETATION_LIMIT,NO_CHANGE_W1W2
EQ_REACHED,STAGE2_TABLE_51_BANK5_WRITES,REFERENCE_EQ_INIT_ONLY_FOR_NON_NOVIDEO_SET_CHNMODE,CH1,05,GROUP,fixed stage2 writes; final 58=00 59=00,eq.c:78-139 conditional 1080P2530 ends 59=11 and C0/C1/C8 writes,DIFFERENT_FINAL_VALUES_AND_CONDITION,diagnostics_pkg.vhd:230-383;eq.c:78-139,CONDITIONAL_PATH,PRIVATE_BANK_CONFIGURATION_DIFFERENCE,NO_CHANGE_W1W2
READ_DETECTORS,SCAN1_GROUPS5_TO8_F0_F2_F3_F4_F5,VIDEO_FMT_DEBOUNCE_OR_VIDEO_FMT_DET_ON_EXPLICIT_CALL,CH1_TO4,05-08,F0-F5,FF write verify; entries read individually,one FF select then successive F0 F2 F3 F4 F5 reads; helper wait only after FF write,ACCESS_OVERLAP_TRANSACTION_PATTERN_DIFF,manifest_pkg.sv:145-188;video.c:400-406;video.c:636-642,DETECTION_CALL_CONDITIONAL,CURRENT_EVENT_TARGETS,NO_CHANGE_W1W2
TABLE_DELAY,MAREK_SLOT4_FE03E8_STAGE2,NO_DIRECT_COUNTERPART_POST_EACH_WRITE,ALL,FE,03,one active opcode 1000 ticks nominal20.016ms,helper wait after each write if selected,DIFFERENT_WAIT_PLACEMENT,"diagnostics_pkg.vhd:237,368;bringup.vhd:1004-1010,2090-2100",ACTIVE_FPGA_CONDITIONAL_TRANSPORT,POSTWRITE_HYPOTHESIS,NO_CHANGE_W1W2
